name,ruleset,priority,description
BigIntegerInstantiation,Performance,3,"Don't create instances of already existing BigInteger (BigInteger.ZERO, BigInteger.ONE) and for Java 1.5 onwards, BigInteger.TEN and BigDecimal (BigDecimal.ZERO, BigDecimal.ONE, BigDecimal.TEN)"
ConsecutiveAppendsShouldReuse,Performance,3,"Consecutive calls to StringBuffer/StringBuilder .append should be chained, reusing the target object. This can improve the performance by producing a smaller bytecode, reducing overhead and improving inlining. A complete analysis can be found [here](https://github.com/pmd/pmd/issues/202#issuecomment-274349067)"
ConsecutiveLiteralAppends,Performance,3,"Consecutively calling StringBuffer/StringBuilder.append(...) with literals should be avoided. Since the literals are constants, they can already be combined into a single String literal and this String can be appended in a single method call."
InefficientEmptyStringCheck,Performance,3,"String.trim().length() == 0 (or String.trim().isEmpty() for the same reason) is an inefficient way to check if a String is really blank, as it creates a new String object just to check its size. Consider creating a static function that loops through a string, checking Character.isWhitespace() on each character and returning false if a non-whitespace character is found. A Smarter code to check for an empty string would be: ```java private boolean checkTrimEmpty(String str) { for(int i = 0; i < str.length(); i++) { if(!Character.isWhitespace(str.charAt(i))) { return false; } } return true; } ``` You can refer to Apache's StringUtils#isBlank (in commons-lang), Spring's StringUtils#hasText (in the Spring framework) or Google's CharMatcher#whitespace (in Guava) for existing implementations (some might include the check for != null)."
InefficientStringBuffering,Performance,3,Avoid concatenating non-literals in a StringBuffer constructor or append() since intermediate buffers will need to be be created and destroyed by the JVM.
InsufficientStringBufferDeclaration,Performance,3,"Failing to pre-size a StringBuffer or StringBuilder properly could cause it to re-size many times during runtime. This rule attempts to determine the total number the characters that are actually passed into StringBuffer.append(), but represents a best guess ""worst case"" scenario. An empty StringBuffer/StringBuilder constructor initializes the object to 16 characters. This default is assumed if the length of the constructor can not be determined."
OptimizableToArrayCall,Performance,3,"Calls to a collection's `toArray(E[])` method should specify a target array of zero size. This allows the JVM to optimize the memory allocation and copying as much as possible. Previous versions of this rule (pre PMD 6.0.0) suggested the opposite, but current JVM implementations perform always better, when they have full control over the target array. And allocation an array via reflection is nowadays as fast as the direct allocation. See also [Arrays of Wisdom of the Ancients](https://shipilev.net/blog/2016/arrays-wisdom-ancients/) Note: If you don't need an array of the correct type, then the simple `toArray()` method without an array is faster, but returns only an array of type `Object[]`."
RedundantFieldInitializer,Performance,3,Java will initialize fields with known default values so any explicit initialization of those same defaults is redundant and results in a larger class file (approximately three additional bytecode instructions per field).
StringInstantiation,Performance,2,Avoid instantiating String objects; this is usually unnecessary since they are immutable and can be safely shared.
StringToString,Performance,3,Avoid calling toString() on objects already known to be string instances; this is unnecessary.
TooFewBranchesForASwitchStatement,Performance,3,"Switch statements are intended to be used to support complex branching behaviour. Using a switch for only a few cases is ill-advised, since switches are not as easy to understand as if-else statements. In these cases use the if-else statement to increase code readability."
UseArrayListInsteadOfVector,Performance,3,ArrayList is a much better Collection implementation than Vector if thread-safe operation is not required.
UseArraysAsList,Performance,3,"The `java.util.Arrays` class has a `asList()` method that should be used when you want to create a new List from an array of objects. It is faster than executing a loop to copy all the elements of the array one by one. Note that the result of `Arrays.asList()` is backed by the specified array, changes in the returned list will result in the array to be modified. For that reason, it is not possible to add new elements to the returned list of `Arrays.asList()` (UnsupportedOperationException). You must use `new ArrayList<>(Arrays.asList(...))` if that is inconvenient for you (e.g. because of concurrent access)."
UseIndexOfChar,Performance,3,Use String.indexOf(char) when checking for the index of a single character; it executes faster.
UseIOStreamsWithApacheCommonsFileItem,Performance,3,Problem: Use of [FileItem.get()](https://commons.apache.org/proper/commons-fileupload/apidocs/org/apache/commons/fileupload/FileItem.html#get--) and [FileItem.getString()](https://commons.apache.org/proper/commons-fileupload/apidocs/org/apache/commons/fileupload/FileItem.html#getString--) could exhaust memory since they load the entire file into memory. Solution: Use [FileItem.getInputStream()](https://commons.apache.org/proper/commons-fileupload/apidocs/org/apache/commons/fileupload/FileItem.html#getInputStream--) and buffering.
UselessStringValueOf,Performance,3,No need to call String.valueOf to append to a string; just use the valueOf() argument directly.
UseStringBufferForStringAppends,Performance,3,The use of the '+=' operator for appending strings causes the JVM to create and use an internal StringBuffer. If a non-trivial number of these concatenations are being used then the explicit use of a StringBuilder or threadsafe StringBuffer is recommended to avoid this.
UseStringBufferLength,Performance,3,"Use StringBuffer.length() to determine StringBuffer length rather than using StringBuffer.toString().equals("""") or StringBuffer.toString().length() == ..."
HardCodedCryptoKey,Security,3,Do not use hard coded values for cryptographic operations. Please store keys outside of source code.
InsecureCryptoIv,Security,3,Do not use hard coded initialization vector in cryptographic operations. Please use a randomly generated IV.
